Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
  Aspen Manor Shopping Centre LC  ,13621 GEORGIA AVE,nan,Silver Spring,  Maryland  ,20906,45 and Above,"13621 GEORGIA AVE Silver Spring  20906 (39.079403, -77.073216)"
Aspen Manor Shopping Centre LC,  13621 GEORGIA AVE  ,nan,N/A,  M@ryland  ,20906,  45 and Above  ,"  13621 GEORGIA AVE Silver Spring  20906 (39.079403, -77.073216)  "
Aspen Manor Shopping Centre LC,13621 GEORGIA AVE,  nan  ,  Silver Spring  ,Maryland,20906,45 and Above,"13621 GEORGIA AVE Silver Spring  20906 (39.079403, -77.073216)"
  Aspen Manor Shopping Centre LC  ,13621 GEORGIA AVE,N/A,Silver Spring,Maryland,20906,45 @nd Above,"  13621 GEORGIA AVE Silver Spring  20906 (39.079403, -77.073216)  "
"WMMH Building 1,2,4,5 LLC",12410 MILESTONE CENTER DR,n@n,Germ@ntown,M@ryland,20876,45 and Above,"12410 MILESTONE CENTER DR Germantown  20876 (39.201502, -77.262936)"
Rio,209 Bo@rdwalk Place,nan,  Gaithersburg  ,  Maryland  ,20878,45 and Above,"209 Boardwalk Place Gaithersburg  20878 (39.117212, -77.199022)"
"Saul Centres, Inc.",1500 ROCKVILLE PIKE,nan,Rockville,N/A,20852,  45 and Above  ,"1500 ROCKVILLE PIKE Rockville  20852 (39.064646, -77.126229)"
GTC Associates,841 RUSSELL AVE,nan,  G@ithersburg  ,Maryland,20879, ,"  841 RUSSELL AVE Gaithersburg  20879 (39.156258, -77.211419)  "
Jefferson associates (Montgomery) l. p., ,nan,Rockville,  M@ryland  ,20852,NULL,"6200 MONTROSE RD Rockville  20852 (39.052735, -77.12721)"
  Hassan Davalloo  ,1350 HOLTON LN,N/A,Takoma park,Maryland,20912,  Less Than 45  ,"1350 HOLTON LN Takoma park  20912 (38.985728, -76.986088)"
"535, LLC",  535 SOUTHLAWN LN  ,  nan  ,NULL,  Maryland  ,20850,45 and Above,"535 SOUTHLAWN LN Rockville  20850 (39.093762, -77.142357)"
"Grove Rockville 31, LLC",2 CHOKE CHERRY RD,nan,Rockville,Maryland,20850,45 and Above,"2 CHOKE CHERRY RD Rockville  20850 (39.113357, -77.183341)"
"  1592 Rockville Pike, LLC  ",1592 ROCKVILLE PIKE,nan,Rockville,  Maryland  ,20852,  45 and Above  , 
  AP WMI TIC  ,2301 GLENALLAN AVE, ,Silver Spring,-,20906,45 and Above,"  2301 GLENALLAN AVE Silver Spring  20906 (39.063066, -77.049798)  "
ThermoFisher Scientific,-,-,Germantown,  Maryland  ,20874,45 and Above,"  20301 CENTURY BLVD Germantown  20874 (39.189493, -77.262779)  "
11222 Georgia Ave, ,nan,Wheaton,Maryland,20902,  Less Th@n 45  ,"11222 GEORGIA AVE Wheaton  20902 (39.039222, -77.051134)"
Carl M Freeman Co,18101 TOWN CENTER DR,n@n,Olney,Maryland,20832,  Less Than 45  ,"18101 TOWN CENTER DR Olney  20832 (39.15188, -77.062182)"
"Hope Connections For Cancer Support, Inc.",10100 LAUREATE WAY,nan,Bethesda,M@ryland,20814,Less Than 45,10100 LAUREATE WAY Bethesda  20814
Moby Dick Sushi, ,  nan  ,  Wheaton  ,  Maryland  ,20902,Less Than 45,-
Steve  Dekelbaum,7428 WESTMORE RD,nan,  Rockville  ,Maryland,20850,Less Than 45,"7428 WESTMORE RD Rockville  20850 (39.099398, -77.151747)"
  Luan LLC  ,  615 S FREDERICK AVE  ,nan,Gaithersburg,Maryland,20877,  45 and Above  ,"  615 S FREDERICK AVE Gaithersburg  20877 (39.128879, -77.185912)  "
N/A,9200 WIGHTMAN RD,nan,Montgomery Village,M@ryland,20886,Less Than 45,"9200 WIGHTMAN RD Montgomery Village  20886 (39.187779, -77.186838)"
Se@rs White Oak,11255 NEW HAMPSHIRE AVE,nan,  Silver Spring  ,  Maryland  ,20904,Less Than 45,"11255 NEW HAMPSHIRE AVE Silver Spring  20904 (39.040601, -76.99092)"
-,11601 NEBEL ST,n@n,  Rockville  ,Maryland,20852,45 and Above,NULL
Jamus Petro Inc,  8384 COLESVILLE RD  ,nan,Silver Spring,Maryland,20910,Less Than 45,"8384 COLESVILLE RD Silver Spring  20910 (38.99341, -77.032555)"
  Ziki Restaurant  ,  10009 FIELDS RD  ,n@n,Gaithersburg,Maryland,20878,Less Th@n 45,"  10009 FIELDS RD Gaithersburg  20878 (39.11629, -77.206791)  "
 ,3922 HAMPDEN ST,  n@n  ,Kensington,M@ryland,20895,  Less Than 45  ,"3922 HAMPDEN ST Kensington  20895 (39.031285, -77.078382)"
"  HWSI, LLC  ",5523 LANDY LN,n@n,Bethesda,  Maryland  ,20816,  45 @nd Above  ,"5523 LANDY LN Bethesda  20816 (38.966035, -77.101876)"
  1395 Piccard LLC  ,1395 PICCARD DR,nan, ,Maryland,20850,  45 and Above  ,"1395 PICCARD DR Rockville  20850 (39.108071, -77.181318)"
Pl@n B Bar and Grill,11272 GEORGIA AVE,n@n,Wheaton,Maryland,20902,Less Than 45,"11272 GEORGIA AVE Wheaton  20902 (39.040442, -77.051504)"
  Unplegged Sports @nd Bar  ,11305 GEORGIA AVE,nan,Wheaton,Maryland,20902,Less Than 45,"11305 GEORGIA AVE Wheaton  20902 (39.040455, -77.051352)"
Island Zests,11252 GEORGIA AVE,nan,  Wheaton  ,Maryland,20902,Less Than 45,"11252 GEORGIA AVE whe@ton  20902 (39.03999, -77.051373)"
Monocle Building,4848 BATTERY LN, ,  Bethesda  ,  Maryland  ,20814,Less Th@n 45,"  4848 BATTERY LN Bethesda  20814 (38.992751, -77.096742)  "
Parking Unlimited,10741 COLUMBIA PIKE,nan,  Silver Spring  ,Maryland,20901,  Less Th@n 45  ,"10741 COLUMBIA PIKE Silver Spring  20901 (39.031852, -77.004063)"
Burkland Condominium Association,10313 GEORGIA AVE,  n@n  ,  Silver Spring  ,Maryland,20902,45 and Above,"  10313 GEORGIA AVE Silver Spring  20902 (39.024014, -77.045569)  "
GMAB LLC,26 N SUMMIT AVE,nan,GAITHERSBURG,  M@ryland  ,20877,  Less Than 45  ,"26 N SUMMIT AVE GAITHERSBURG  20877 (39.14313, -77.193164)"
"ARE/FP - Research Boulevard, LLC",  1407 RESEARCH BLVD  ,  n@n  ,  Rockville  ,  M@ryland  ,20850,45 and Above,"  1407 RESEARCH BLVD Rockville  20850 (39.091495, -77.178639)  "
Glascock Condominum,  425 BARLOW PL  ,n@n,Bethesda,Maryland,20814,45 and Above,"425 BARLOW PL Bethesda  20814 (39.0213, -77.108612)"
Firstfield Place Office Condominium,17 FIRSTFIELD RD,nan,G@ithersburg,Maryland,20878,45 and Above,"17 FIRSTFIELD RD Gaithersburg  20878 (39.138495, -77.22547)"
  Glascock Condominium  ,425 BARLOW PL,  nan  , ,Maryland,20814,45 @nd Above,"425 BARLOW PL Bethesda@  20814 (39.0213, -77.108612)"
"Montrose West, LP",  1201 SEVEN LOCKS RD  ,n@n,  Rockville  ,M@ryland,20854, ,"1201 SEVEN LOCKS RD Rockville  20854 (39.064275, -77.16011)"
Colewood Centre SS LLC,10801 LOCKWOOD DR,nan,Silver Spring,Maryland,20901,45 @nd Above,"10801 LOCKWOOD DR Silver Spring  20901 (39.033122, -77.002535)"
"ARE/FP - Research Blvd., LLC","1403, 1407-1409 RESEARCH BLVD",-,Rockville,  Maryland  ,20850,  45 and Above  ,"1403, 1407-1409 RESEARCH BLVD Rockville  20850 (39.091276, -77.178755)"
  Glascock Condominium  ,425 BARLOW PL,NULL,  Bethesda  ,Maryland,20814,45 and Above,"425 BARLOW PL Bethesda@  20814 (39.0213, -77.108612)"
GMAB LLC,26 N SUMMIT AVE,nan,Gaithersburg,Maryland, ,Less Than 45,"26 N SUMMIT AVE Gaithersburg  20877 (39.14313, -77.193164)"
 ,  611 ROCKVILLE PIKE  ,nan,N/A,Maryland,20850,45 and Above,  611 ROCKVILLE PIKE ROCKVILLE  20850  
NULL,  12526 GREAT PARK CIR  ,  nan  ,Germantown,  M@ryland  ,20876,45 and Above,"12526 GREAT PARK CIR Germantown  20876 (39.201424, -77.255994)"
Forest Park Apartments LLC,9316 PINEY BRANCH RD,  nan  ,Silver Spring,M@ryland,20903,45 and Above,"9316 PINEY BRANCH RD Silver Spring  20903 (39.00337, -76.987194)"
Emergent BioSolutions (Alexandria Real Estate),  9920 MEDICAL CENTER DR  ,  n@n  ,NULL,  Maryland  ,20850,  45 and Above  ,-
triumph realty,431 N FREDERICK AVE,n@n,N/A,Maryland,20877,Less Than 45,"431 N FREDERICK AVE GAITHERSBURG  20877 (39.146981, -77.205281)"
NULL,11266 GEORGIA AVE,  nan  ,whe@ton,Maryland,20902,Less Than 45,"11266 GEORGIA AVE Wheaton  20902 (39.040281, -77.051458)"
Lantian Development/Grove Rockville 31 III LLC, ,nan,Rockville,Maryland,20850,  45 and Above  ,"15825 SHADY GROVE RD Rockville  20850 (39.11643, -77.184207)"
FMI Lindbergh LLC,7500 LINDBERGH DR,  nan  ,Gaithersburg,Maryland,20879,N/A,"7500 LINDBERGH DR Gaithersburg  20879 (39.164089, -77.153674)"
NULL,  7404 WESTMORE RD  ,-,Rockville,Maryland,-,Less Than 45,"7404 WESTMORE RD Rockville  20850 (39.099398, -77.151747)"
PNP Real Estate,9870 MAIN ST,nan,Damascus,  Maryland  ,20872,Less Th@n 45,"9870 MAIN ST Damascus  20872 (39.288266, -77.203578)"
N/A,8223 GEORGIA AVE,nan,silver spring,Maryland,20910,Less Than 45,"8223 GEORGIA AVE silver spring  20910 (38.992395, -77.026541)"
BNR Building Ventures LLC,1632 E GUDE DR,nan,  Silver Spring  , ,20850,45 @nd Above,"  1632 E GUDE DR Silver Spring  20850 (39.093363, -77.131723)  "
  Community Motors Inc  ,N/A,nan,Bethesda,Maryland,20814,Less Than 45,"4725 CHELTENHAM DR Bethesda  20814 (38.988296, -77.094371)"
Tr@vilah Oak LLC,12944 TRAVILAH RD,nan,  Potomac  ,Maryland,20854,45 and Above,"12944 TRAVILAH RD Potomac  20854 (39.067711, -77.263253)"
"  M-ARC MV Owner VII, LLC  ",-,nan,Montgomery Village,NULL,20886,45 @nd Above,"19134 MONTGOMERY VILLAGE AVE Montgomery Village  20886 (39.170658, -77.204158)"
Bl@ir Mill LLC,  1100 EAST WEST HWY  ,  nan  ,  Silver Spring  ,Maryland,20910,Less Th@n 45,"1100 EAST WEST HWY Silver Spring  20910 (38.988388, -77.0275)"
  713 Sligo LLC  ,7110 WILLOW AVE,n@n,-,  Maryland  ,20912,Less Than 45,"7110 WILLOW AVE Takoma park  20912 (38.974984, -77.012966)"
"  Wolf Realty Associates, LLC  ",-,nan,Rockville,Maryland,20853,  Less Than 45  ,"4110 ASPEN HILL RD Rockville  20853 (39.080171, -77.081885)"
Tower-Dawson LLC,1101 WOOTTON PKWY,nan,Rockville,  Maryland  ,20852,45 and Above,"1101 WOOTTON PKWY Rockville  20852 (39.067024, -77.155959)"
"  Hotels USA of Hunt Valley, LLC  ",9140 ROTHBURY DR,  nan  ,Gaithersburg,Maryland,20886,  45 and Above  ,"9140 ROTHBURY DR G@ithersburg  20886 (39.185518, -77.189212)"
The P@rk at Kingsview Village,13414 DAVENTRY WAY,nan,Germantown,  M@ryland  ,20874,45 and Above,"  13414 DAVENTRY WAY Germ@ntown  20874 (39.156719, -77.278644)  "
  Richard Montgomery High School  ,250 RICHARD MONTGOMERY DR,  n@n  ,Rockville,Maryland,20852,  45 and Above  ,N/A
Kohl's Dep@rtment Stores,  20918 FREDERICK RD  ,nan,Germ@ntown,  M@ryland  ,20876,45 and Above,"20918 FREDERICK RD Germantown  20876 (39.19871, -77.245077)"
Lantian Development/Grove Rockville 31 LLC,  4 CHOKE CHERRY RD  ,n@n,-,Maryland,20850,  45 @nd Above  ,"4 CHOKE CHERRY RD Rockville  20850 (39.114215, -77.184872)"
  Rockville Motel Associates LLC  ,1251 W MONTGOMERY AVE,n@n,Rockville,Maryland,20850,NULL,"  1251 W MONTGOMERY AVE Rockville  20850 (39.088925, -77.177511)  "
Lantian Development/Grove Rockville 31 IV LLC,2094 GAITHER RD,N/A, ,  Maryland  ,20850,Less Than 45,"2094 GAITHER RD Rockville  20850 (39.116697, -77.181676)"
Lantian Development/Grove Rockville 31 IV LLC,  2098 GAITHER RD  ,nan,Rockville,Maryland, ,  45 and Above  ,"  2098 GAITHER RD Rockville  20850 (39.116857, -77.182057)  "
FMI Lindbergh LLC,7510 LINDBERGH DR,n@n,Gaithersburg,M@ryland,N/A,  45 and Above  ,"7510 LINDBERGH DR Gaithersburg  20879 (39.164334, -77.153416)"
Lantian Development/Grove Rockville 31 IV LLC,2096 GAITHER RD,n@n,  Rockville  , ,20850,45 @nd Above,"2096 GAITHER RD Rockville  20850 (39.116817, -77.18196)"
  Lantian Development/Grove Rockville 31 IV LLC  ,2092 GAITHER RD,n@n,  Rockville  ,  Maryland  ,20850,45 and Above,"  2092 GAITHER RD Rockville  20850 (39.116485, -77.181192)  "
Eugene B. Casey Foundation,800 S FREDERICK AVE,  nan  ,  Gaithersburg  ,M@ryland,20877,45 and Above,"800 S FREDERICK AVE Gaithersburg  20877 (39.125435, -77.182099)"
  P@rkside Technology Centre  ,N/A,  nan  ,  G@ithersburg  ,M@ryland,20879,45 and Above,"8051 CESSNA AVE G@ithersburg  20879 (39.172246, -77.164982)"
N/A,2201 RANDOLPH RD,-,Silver Spring,N/A,20902,45 and Above,"2201 RANDOLPH RD Silver Spring  20902 (39.059447, -77.047457)"
"  Saul Centres, Inc.  ",  11200 NEW HAMPSHIRE AVE  ,NULL,Silver Spring,Maryland,20901,45 and Above,11200 NEW HAMPSHIRE AVE Silver Spring  20901
NULL,7635 LINDBERGH DR,NULL,Gaithersburg,Maryland,20879,45 @nd Above,"7635 LINDBERGH DR Gaithersburg  20879 (39.167216, -77.155235)"
  Blair Mill LLC  ,1100 BLAIR MILL RD,  nan  ,  Silver Spring  ,M@ryland,20910,  Less Th@n 45  ,"1100 BLAIR MILL RD Silver Spring  20910 (38.989092, -77.027021)"
Km@rt #4399 Transform LLC,14014 CONNECTICUT AVE,n@n,Silver Spring,Maryland,20906,45 and Above,"14014 CONNECTICUT AVE Silver Spring  20906 (39.084454, -77.07596)"
"Greenlexit, LLC",4906 DEL RAY AVE,n@n,Bethesda,Maryland,20814,Less Than 45,"4906 DEL RAY AVE Bethesda  20814 (38.989613, -77.099066)"
Levine Family LP,189 KENTLANDS BLVD,  nan  ,Gaithersburg,Maryland, ,45 and Above,"189 KENTLANDS BLVD Gaithersburg  20878 (39.123184, -77.235481)"
Garden Plaza LLC,7700 OLD GEORGETOWN RD,-,Bethesda@,Maryland,20814,Less Than 45,"  7700 OLD GEORGETOWN RD Bethesda  20814 (38.986805, -77.097632)  "
Grace Evangelical Church, ,  nan  ,N/A,Maryland,20910,Less Than 45,"  1010 RIPLEY ST Silver Spring  20910 (38.992475, -77.027645)  "
"Metro Pike Centre, LLC",11510 ROCKVILLE PIKE,nan,Rockville,  M@ryland  ,20852,45 and Above,"11510 ROCKVILLE PIKE Rockville  20852 (39.045006, -77.111963)"
Saul Subsidiary 1 Limited Partnership,11200 NEW HAMPSHIRE AVE,  nan  ,Silver Spring,Maryland,20901,45 and Above,N/A
NULL,13800 OUTLET DR,nan,Silver Spring,Maryland,-,45 and Above,13800 OUTLET DR Silver Spring  20904
230 Investments LLC,  230 N WASHINGTON ST  ,  nan  ,Rockville,  Maryland  ,20850,  Less Than 45  ,"230 N WASHINGTON ST Rockville  20850 (39.086609, -77.152974)"
Regency Centres,5110 RIDGEFIELD RD,  n@n  ,Bethesda,M@ryland,20816,  45 @nd Above  ,"5110 RIDGEFIELD RD Bethesda  20816 (38.966125, -77.106464)"
  7501 LLC  ,7501 WISCONSIN AVE,nan,Bethesda,Maryland,20814,Less Than 45,"7501 WISCONSIN AVE Bethesda  20814 (38.984974, -77.094202)"
Congressional North Shopping Centre,1471 ROCKVILLE PIKE,  nan  ,  Rockville  ,  Maryland  ,N/A,45 and Above,NULL
"Br@dley Arlington, LLC",6917 ARLINGTON RD,nan,Bethesda,Maryland,20814,45 @nd Above,"  6917 ARLINGTON RD Bethesda@  20814 (38.978483, -77.098737)  "
