Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
Kehil@t Shalom,9915 APPLE RIDGE RD,  nan  ,Montgomery Vill@ge,  Maryland  ,20886,  Less Th@n 45  ,"9915 APPLE RIDGE RD Montgomery Village  20886 (39.185485020000044, -77.20577401899999)"
Prenuvo,  7106 WOODMONT AVE  ,  nan  ,Bethesda,M@ryland,20815,Less Than 45,-
"Kentland's Lot 1, LLC",NULL,  nan  ,G@ithersburg,  Maryland  ,20878,  45 and Above  ,"60 MARKET ST G@ithersburg  20878 (39.124406, -77.235397)"
  America's Best Wings  ,  11242 GEORGIA AVE  ,-,-,N/A,20902,  Less Than 45  ,N/A
Heurtt Properties,12838 NEW HAMPSHIRE AVE,  nan  ,silver spring,  Maryland  ,20904,Less Than 45,-
Heurtt Properties,12106 GEORGIA AVE,  nan  ,  Wheaton  ,  M@ryland  ,20902,Less Than 45,"12106 GEORGIA AVE Wheaton  20902 (39.053498, -77.050856)"
LMC Capital LLC,20906 Frederick Rd,nan,  Germantown  ,Maryland,20876,45 and Above,-
  Highl@nder Financial Group  ,  7 PARK AVE  ,nan,  Gaithersburg  ,Maryland,20877, ,"7 PARK AVE Gaithersburg  20877 (39.142718, -77.194845)"
"  Kentland's Square, LLC  ",  209 KENTLANDS BLVD  ,n@n,Gaithersburg,-,NULL,  45 @nd Above  ,"209 KENTLANDS BLVD Gaithersburg  20878 (39.123226, -77.236132)"
"74 Randolph Owner LLC c/o Rosenthal Properties, LLC",12205 NEBEL ST,nan,Rockville,  Maryland  ,20852,45 and Above,"12205 NEBEL ST Rockville  20852 (39.052249, -77.110442)"
N/A,20906 FREDERICK RD,  nan  ,Germantown,Maryland,20876,  45 and Above  ,"20906 FREDERICK RD Germ@ntown  20876 (39.199067, -77.245134)"
"  Kentland's Subsidiary, LLC  ",  195 KENTLANDS BLVD  ,nan,  Gaithersburg  ,  Maryland  ,20878,  45 and Above  ,"  195 KENTLANDS BLVD Gaithersburg  20878 (39.123189, -77.235553)  "
"  ARE Acquisitions, LLC  ",910 CLOPPER RD,nan,Gaithersburg,Maryland,20878,NULL,"910 CLOPPER RD G@ithersburg  20878 (39.147056, -77.230284)"
"Finm@rc Gaithersburg, LLC",8321 BEECHCRAFT AVE,nan,Gaithersburg,  Maryland  ,20879,  Less Than 45  ,"8321 BEECHCRAFT AVE Gaithersburg  20879 (39.168463, -77.170454)"
"GCAAR Holdings, LLC",15201 DIAMONDBACK DR,nan,Rockville,Maryland,20850,45 @nd Above,"15201 DIAMONDBACK DR Rockville  20850 (39.105813, -77.201697)"
StoneCreek Club,12840 LOCBURY CIR,n@n,  Germantown  ,  Maryland  ,20874,45 and Above,"12840 LOCBURY CIR Germantown  20874 (39.186257, -77.264609)"
 ,21010 FREDERICK RD,nan,Germantown,N/A,20876,45 and Above,"21010 FREDERICK RD Germantown  20876 (39.201723, -77.2456)"
Whe@ton Manor Shopping Centre,NULL,n@n,Wheaton,  Maryland  ,20902,  45 and Above  ,"2227 UNIVERSITY W BLVD Wheaton  20902 (39.041574, -77.049218)"
Saul Subsidiary 1 Limited Partnership, ,nan,Silver Spring,  Maryland  ,20901,45 and Above,-
NULL,  20926 FREDERICK RD  ,N/A,  Germantown  ,Maryland,20876,45 and Above,"20926 FREDERICK RD Germ@ntown  20876 (39.202867, -77.245789)"
Old Town Gaithersburg,22 N SUMMIT AVE,  nan  ,Gaithersburg,Maryland,20877,45 and Above,"22 N SUMMIT AVE Gaithersburg  20877 (39.142921, -77.19323)"
  Hunt Club Apartments  ,404 CHRISTOPHER AVE,N/A,Gaithersburg,Maryland,20879,  45 and Above  ,"  404 CHRISTOPHER AVE Gaithersburg  20879 (39.159442, -77.209156)  "
Won Kim,112 N FREDERICK AVE,nan,-,Maryland,20877,Less Than 45,"  112 N FREDERICK AVE Gaithersburg  20877 (39.143275, -77.200771)  "
Inter-Denominational Church of God,19201  Woodfield RD,nan,Gaithersburg,  Maryland  ,20879, ,NULL
  230 Investments LLC  ,230 N WASHINGTON ST,nan,N/A,-,-,  Less Than 45  ,"230 N WASHINGTON ST Rockville  20850 (39.086609, -77.152974)"
230 Investments LLC,230 N WASHINGTON ST,nan,Rockville,M@ryland,20850,Less Than 45,"230 N WASHINGTON ST Rockville  20850 (39.086609, -77.152974)"
"  TBC - Washingtonian, LLC  ",N/A,  nan  ,Gaithersburg,M@ryland,20878,Less Than 45,"  9841 WASHINGTONIAN BLVD Gaithersburg  20878 (39.116551, -77.199475)  "
  Lindbergh Condominium Unit Owners Associ@tion  ,7600 LINDBERGH DR,N/A,Gaithersburg,Maryland,20879,  Less Than 45  ,"7600 LINDBERGH DR Gaithersburg  20879 (39.166567, -77.153419)"
  8 Russell Ave  ,8 RUSSELL AVE,NULL, ,Maryland,20877,45 and Above,"  8 RUSSELL AVE Gaithersburg  20877 (39.143114, -77.196629)  "
"Wisconsin Avenue Partners, LLC",4708 BETHESDA AVE,  nan  ,Bethesda,Maryland,20814,Less Than 45,"4708 BETHESDA AVE Bethesda  20814 (38.98084198500004, -77.09346297099995)"
"Triangle 7511, LLC c/o Rosenthal Properties, LLC",  9989 STEDWICK RD  ,  nan  ,Gaithersburg,Maryland,20886,  45 and Above  ,"  9989 STEDWICK RD Gaithersburg  20886 (39.1701, -77.20661)  "
  Robotic Research  ,22601 GATEWAY CENTER DR,  n@n  ,Clarksburg,N/A,20871,45 @nd Above,"22601 GATEWAY CENTER DR Clarksburg  20871 (39.23104, -77.28019)"
NULL,15100 FREDERICK RD,n@n,ROCKVILLE,M@ryland,-,N/A,"15100 FREDERICK RD ROCKVILLE  20850 (39.10341, -77.15649)"
Diamond Estates 2 LLC,20 E DIAMOND AVE,nan,G@ithersburg,Maryland,20877,Less Th@n 45,"  20 E DIAMOND AVE G@ithersburg  20877 (39.14227899100007, -77.19670203399994)  "
NULL,104  S WASHINGTON ST,nan,ROCKVILLE,Maryland,20850,Less Th@n 45,"104 S WASHINGTON ST ROCKVILLE  20850 (39.08270398600007, -77.15251599299995)"
NULL,  104 ENGLAND TER  ,nan,  Rockville  ,Maryland,-,Less Than 45,"104 ENGLAND TER Rockville  20850 (39.086624, -77.147234)"
Barsky Parking LLC,8402 CONNECTICUT AVE,  nan  ,  Chevy Chase  ,Maryland,20815,Less Than 45,"  8402 CONNECTICUT AVE Chevy Ch@se  20815 (38.993845, -77.077254)  "
Knollwood Industries Centre,  18707 MOONEY DR  ,nan,G@ithersburg,N/A,NULL,Less Than 45,"18707 MOONEY DR Gaithersburg  20879 (39.163802, -77.163911)"
BKC LLC,20900 FREDERICK RD,  nan  ,Germantown,Maryland,20876,Less Than 45,"20900 FREDERICK RD Germantown  20876 (39.200064, -77.245323)"
"  Briggs Chaney Plaza, LLC  ",13800 OUTLET DR,nan,Silver Spring,  Maryland  ,20904,NULL,"13800 OUTLET DR Silver Spring  20904 (39.08249, -76.946812)"
8120 Fenton Street LLC,8120 FENTON ST,nan,Silver Spring,Maryland,20910,  Less Than 45  ,"8120 FENTON ST Silver Spring  20910 (38.991156, -77.024008)"
Grandview Properties,11401 GRANDVIEW AVE,nan,Whe@ton,NULL,20902,  Less Th@n 45  ,"11401 GRANDVIEW AVE Wheaton  20902 (39.041743, -77.053117)"
Greenhill's Bangkok LLC,4906 ST ELMO AVE,nan,Bethesda,-,20814,  Less Than 45  ,-
"  Briggs Chaney Plaza, LLC  ",13800 OUTLET DR,nan,Silver Spring,Maryland,20904,-,"13800 OUTLET DR Silver Spring  20904 (39.08249, -76.946812)"
  Beer wine & Co  ,7029 WISCONSIN AVE,  n@n  ,Chevy chase,Maryland,N/A,  Less Than 45  ,"  7029 WISCONSIN AVE Chevy ch@se  20815 (38.979887, -77.09198)  "
Franklin Park Industrial Condominium,  15701 CRABBS BRANCH WAY  ,nan,Rockville,  Maryland  ,20855,45 and Above,"15701 CRABBS BRANCH WAY Rockville  20855 (39.112821, -77.156605)"
Beer wine & Co,7029 WISCONSIN AVE,nan,Chevy chase,  Maryland  ,20815,Less Than 45,"7029 WISCONSIN AVE Chevy chase  20815 (38.979887, -77.09198)"
"BreLu, LLC",  8605 2ND AVE  ,NULL,Silver Spring,Maryland,20910, ,"8605 2ND AVE Silver Spring  20910 (38.996967, -77.033174)"
Realco Ritchie Centre LLC,  765 ROCKVILLE PIKE  ,nan,Rockville,  Maryland  ,20852,45 and Above,"765 ROCKVILLE PIKE Rockville  20852 (39.077779, -77.140579)"
NULL,9200 WIGHTMAN RD,  nan  ,-,  M@ryland  ,20886,  45 and Above  ,"  9200 WIGHTMAN RD Montgomery Vill@ge  20886 (39.187779, -77.186838)  "
  Fenton Service Station Inc  ,  8301 FENTON ST  ,nan,  Silver Spring  ,  Maryland  ,20910,NULL,"  8301 FENTON ST Silver Spring  20910 (38.993309, -77.024084)  "
  Apogee Retail LLC DBA Unique Thrift  , ,nan,Silver Spring,NULL,20906,45 and Above,"12211 VEIRS MILL RD Silver Spring  20906 (39.057299, -77.084401)"
NULL,9807 MAIN ST,  nan  ,-,Maryland,20872,  45 and Above  ,"9807 MAIN ST Damascus  20872 (39.288037, -77.202854)"
Diamond TAK,  226 E DIAMOND AVE  ,  nan  ,Gaithersburg,  Maryland  ,20877,Less Than 45,NULL
FedEx Distribution Centre,  800 N FREDERICK AVE  ,  nan  ,  Gaithersburg  ,Maryland,20879,45 and Above,"800 N FREDERICK AVE Gaithersburg  20879 (39.15548, -77.21588)"
  Sligo Station Condominium  ,  605 HUDSON AVE  ,nan,-,Maryland,20912,-,"605 HUDSON AVE t@koma park  20912 (38.99195, -77.00475)"
Saul Subsidiary I Limited Partnership,  1101 UNIVERSITY E BLVD  ,  nan  ,Takoma Park,Maryland,20912,45 and Above,"1101 UNIVERSITY E BLVD Takoma Park  20912 (38.9903, -76.98924)"
Bennington Community Association,29 GOODPORT CT,  nan  ,Gaithersburg,Maryland,20878,45 @nd Above,"29 GOODPORT CT Gaithersburg  20878 (39.15212, -77.2362)"
  Northwood Presbyterian Church  ,1200 UNIVERSITY W BLVD,nan,Silver Spring,M@ryland,20901,45 @nd Above,"  1200 UNIVERSITY W BLVD Silver Spring  20901 (39.0353, -77.02855)  "
"Hotels USA of Hunt Valley, LLC",9140  ROTHBURY DR,nan,  Gaithersburg  ,  Maryland  ,20886,45 and Above,"9140 ROTHBURY DR Gaithersburg  20886 (39.18556, -77.18974)"
Sandy Spring Bank,611 ROCKVILLE PIKE,  nan  ,Rockville,N/A,20852,  45 and Above  ,"611 ROCKVILLE PIKE Rockville  20852 (39.08057, -77.14498)"
N/A,17654 AMITY DR,n@n,Gaithersburg,  M@ryland  ,20877,45 and Above,"17654 AMITY DR Gaithersburg  20877 (39.14441, -77.16811)"
  Quince orchard Shell  ,  501 QUINCE ORCHARD RD  ,  nan  ,Gaithersburg,Maryland,-,Less Than 45,"501 QUINCE ORCHARD RD Gaithersburg  20878 (39.14545, -77.21994)"
Montgomery Industrial Park Condo Association,  12051 TECH RD  ,  n@n  ,  Silver Spring  ,Maryland,20904,45 and Above,NULL
  230 Investments LLC  ,230 N WASHINGTON ST,  nan  ,NULL,Maryland,20850,  Less Than 45  ,"230 N WASHINGTON ST Rockville  20850 (39.08655, -77.15295)"
N/A,101 CHESTNUT ST,  nan  ,Gaithersburg,Maryland,20877,-,"101 CHESTNUT ST Gaithersburg  20877 (39.14127, -77.20398)"
"H@lle Enterprises, Inc.",2900 LINDEN LN,  nan  ,Silver Spring,Maryland,20910,  45 and Above  ,"  2900 LINDEN LN Silver Spring  20910 (39.01467, -77.05723)  "
  Gaither Road Limited Partnership  ,9101 GAITHER RD,NULL,N/A,  Maryland  ,20877,NULL,N/A
"  Westmore Condominium Association, Inc.  ",  7402 WESTMORE RD  ,n@n,Rockville,NULL,20850,Less Than 45,"7402 WESTMORE RD Rockville  20850 (39.09922, -77.1511)"
N/A,12221 PARKLAWN DR,  nan  ,Rockville,  M@ryland  ,20852,  45 and Above  ,"  12221 PARKLAWN DR Rockville  20852 (39.0579, -77.10954)  "
Kohl's Dep@rtment Stores,  20918 FREDERICK RD  ,nan,  Germantown  ,Maryland,20876,  45 and Above  ,"  20918 FREDERICK RD Germantown  20876 (39.19923, -77.24516)  "
Jeffrey C@rino,  7402 WESTMORE RD  ,nan,  Rockville  ,Maryland,NULL,Less Than 45,"7402 WESTMORE RD Rockville  20850 (39.09922, -77.1511)"
Karla Herandez,  4118 HOWARD AVE  ,  nan  ,  Silver Spring  ,  Maryland  ,20895,Less Than 45,"4118 HOWARD AVE Silver Spring  20895 (39.03045, -77.08146)"
"EDENS, LLC",11325 SEVEN LOCKS RD,nan,Potom@c,Maryland,20854,45 and Above,"  11325 SEVEN LOCKS RD Potomac  20854 (39.04204, -77.15948)  "
"National Capital Area Council, Boy scouts of America",9190 ROCKVILLE PIKE,nan,N/A,  Maryland  ,20814,45 and Above,"9190 ROCKVILLE PIKE Bethesda@  20814 (39.00628, -77.09764)"
Fernando Rivera,  200 N WASHINGTON ST  ,nan,-,Maryland,20850,  Less Than 45  ,"200 N WASHINGTON ST Rockville  20850 (39.08632, -77.15317)"
"HD Development of Maryland, Inc.",14000 GEORGIA AVE,nan,  Aspen Hill  ,M@ryland,20906,  45 and Above  ,"14000 GEORGIA AVE Aspen Hill  20906 (39.08485, -77.07852)"
NULL, , ,Silver Spring,  Maryland  ,20910,  45 and Above  ,"8615 Georgia Ave Silver Spring  20910 (38.99633, -77.0285)"
SOBEIDY  VIDAL,11412  Veirs mill rd.,nan,Veirs Mill,Maryland,20902,  Less Than 45  ,"11412 Veirs mill rd. Veirs Mill  20902 (39.04364000000004, -77.06307396199998)"
Ava Weidner,NULL,nan,Gaithersburg,  Maryland  ,20877,NULL,"9 N FREDERICK AVE Gaithersburg  20877 (39.14225939700003, -77.19972916199998)"
Crabbs Branch Industrial Condominiums,15740 CRABBS BRANCH WAY,nan,Derwood,Maryland,20855,Less Than 45,"  15740 CRABBS BRANCH WAY Derwood  20855 (39.11289602, -77.157822995)  "
Anne Arundel Associ@tes Inc,20010 FISHER AVE,  nan  ,-,M@ryland,20837,  Less Than 45  ,"20010 FISHER AVE Poolesville  20837 (39.14600701, -77.418459029)"
Cr@bbs Branch Industrial Condominiums,15740 CRABBS BRANCH WAY,nan,Derwood,Maryland, , ,"15740 CRABBS BRANCH WAY Derwood  20855 (39.11289602, -77.157822995)"
NULL,20 RITCHIE AVE,nan,Silver Spring,Maryland,20910,Less Than 45,"  20 RITCHIE AVE Silver Spring  20910 (38.985109003, -77.008022963)  "
"  MFV Airpark, LLC  ", ,nan,Gaithersburg,  Maryland  ,20879,Less Than 45,"  7650 AIRPARK RD Gaithersburg  20879 (39.170971, -77.15771403)  "
Research Grove Associates,2400 RESEARCH BLVD,nan,Rockville,  Maryland  ,N/A,45 and Above,"2400 RESEARCH BLVD Rockville  20850 (39.103110986, -77.187792993)"
  L & T Market Inc  ,  700 HUNGERFORD DR  ,  nan  ,  Rockville  ,M@ryland, ,45 and Above,"  700 HUNGERFORD DR Rockville  20850 (39.093035017, -77.154149961)  "
MFV 700 NFA LLC & DNIP 700 NFA LLC,700 Progress Way,  nan  ,Gaithersburg,  Maryland  ,20879,45 @nd Above,"700 Progress Way Gaithersburg  20879 (39.151565008, -77.21512202)"
King F@rm Village Centre, ,nan,Rockville,NULL,-,45 @nd Above,"  403 REDLAND BLVD Rockville  20850 (39.113217005, -77.171628995)  "
MFV 700 NFA LLC & DNIP 700 NFA LLC,750 Progress Way,  nan  ,Gaithersburg, ,20879,45 and Above,"750 Progress Way Gaithersburg  20879 (39.152787006, -77.216362961)"
"Saul Centres, Inc.",  5541 NICHOLSON LN  ,nan,Rockville,M@ryland,20852,45 and Above,"5541 NICHOLSON LN Rockville  20852 (39.045194005, -77.110373041)"
"The Chevy Chase Land Company of Montgomery County, Maryland",8510 CONNECTICUT AVE,  nan  ,Chevy Chase,M@ryland,20815,  45 and Above  ,"8510 CONNECTICUT AVE Chevy Chase  20815 (38.995284005, -77.077535008)"
JD Bowerman,1101 CLOPPER RD,  nan  ,Gaithersburg,  Maryland  ,N/A,45 @nd Above,"1101 CLOPPER RD Gaithersburg  20878 (39.147620988, -77.229481981)"
  Theresa Frazier  ,  16105 SHADY GROVE RD  ,n@n,Gaithersburg,  Maryland  ,20877,45 @nd Above,"  16105 SHADY GROVE RD Gaithersburg  20877 (39.120482984, -77.178908008)  "
Theresa Frazier,11 FEDOR AVE,  nan  ,Gaithersburg,  M@ryland  ,20877,  Less Th@n 45  ,"11 FEDOR AVE Gaithersburg  20877 (39.12012801, -77.17780101)"
  ESP GALVAN AT TWINBROOK LLC  ,1800 ROCKVILLE PIKE,nan,  Rockville  ,Maryland,20852,45 and Above,NULL
CSAAC,9200 WIGHTMAN RD,n@n,Montgomery Village,Maryland,20886,45 @nd Above,"9200 WIGHTMAN RD Montgomery Village  20886 (39.18779, -77.18684)"
Extra@ Space Storage, ,nan,Bethesda,Maryland, ,Less Than 45,"5140 RIVER RD Bethesda@  20816 (38.9642, -77.10283)"
"  Home Depot U.S.A., Inc.  ",15740 SHADY GROVE RD,  nan  ,  G@ithersburg  ,Maryland, ,45 and Above,NULL
LRS Group LLC,  2217 KANSAS AVE  ,nan,Silver Spring,Maryland,20910,45 and Above,"2217 KANSAS AVE Silver Spring  20910 (39.00328, -77.04886)"
"  Randolph Properties, LP & Randolph Buildings, LP  ",NULL,-,Rockville,  Maryland  , ,45 and Above,"4920 WYACONDA RD Rockville  20852 (39.04380701000008, -77.09852496999997)"
  Georgia Avenue LLC  ,  2739 GARFIELD AVE  ,nan,Silver Spring,  Maryland  , ,  Less Th@n 45  ,"2739 GARFIELD AVE Silver Spring  20910 (39.00228700100007, -77.05651101499996)"
  Mackie's Barbeque company  ,NULL,nan,  Olney  ,M@ryland,20832,  Less Than 45  ,"  5500 OLNEY LAYTONSVILLE RD Olney  20832 (39.18280700200006, -77.11041000499995)  "
Arlene B. Hillerson Non-Exempt QTIP Trust,2446 REEDIE DR,nan,Wheaton,Maryland,NULL,Less Than 45, 
Daro's Beer & Wine,2501 ENNALLS AVE,nan,  Wheaton  ,Maryland,20902,Less Than 45,"2501 ENNALLS AVE Wheaton  20902 (39.04034398500005, -77.05303596199997)"
"KRCX WRI Holdings, LLC",N/A,nan,Rockville,Maryland,20852,  45 and Above  ,"12137 ROCKVILLE PIKE Rockville  20852 (39.057363020000025, -77.11836904199998)"
B & L associates,  11248 GEORGIA AVE  ,nan,  whe@ton  ,  Maryland  ,20902,Less Than 45,"11248 GEORGIA AVE Wheaton  20902 (39.039860013000066, -77.05171899699997)"
Amalgamated Transit Union/ATU-TDCC,-,nan,Silver Spring,Maryland,20903,45 and Above,"10000 NEW HAMPSHIRE AVE Silver Spring  20903 (39.022108987000024, -76.98197896499994)"
  Cl@rksburg Market  ,  23329 FREDERICK RD  ,nan,  Cl@rksburg  ,  M@ryland  ,20871,Less Than 45,"23329 FREDERICK RD Clarksburg  20871 (39.238805994000074, -77.27915598899995)"
MUDDY BRANCH SQUARE LIMITED PARTNERSHIP,  800 MUDDY BRANCH RD  ,nan,G@ithersburg,Maryland,20878,  45 @nd Above  ,"800 MUDDY BRANCH RD Gaithersburg  20878 (39.11411500000003, -77.21629498399994)"
"Air Garage, Inc",  5555 WISCONSIN AVE  ,nan,Chevy Chase,M@ryland, ,45 and Above,"5555 WISCONSIN AVE Chevy Ch@se  20815 (38.965128012, -77.087320963)"
True Jesus Church in Washington DC,531 DALE DR,  nan  ,Silver Spring,  M@ryland  ,-,  Less Than 45  ,"531 DALE DR Silver Spring  20910 (39.000965007, -77.017406)"
Dina  Diamantides,8115 SCHRIDER ST,nan,Silver Spring,M@ryland,20910,N/A,"8115 SCHRIDER ST Silver Spring  20910 (38.991741016, -77.014138986)"
Christ the Servant Lutheran Church,  9801 CENTERWAY RD  ,n@n,Montgomery Village,  Maryland  ,20886,45 and Above,"  9801 CENTERWAY RD Montgomery Village  20886 (39.173047994, -77.202705991)  "
  Christ the Servant Lutheran Church  ,9801 CENTERWAY RD,nan,  Montgomery Vill@ge  ,M@ryland,20886,45 and Above,"  9801 CENTERWAY RD Montgomery Village  20886 (39.173047994, -77.202705991)  "
NULL,18900 BONANZA WAY,  nan  ,  Gaithersburg  ,  Maryland  ,20879,45 and Above,"18900 BONANZA WAY Gaithersburg  20879 (39.166985992, -77.171164973)"
Silver Hospitality Inc,8040 13TH ST,nan,Silver Spring,Maryland,20910,45 and Above,"8040 13TH ST Silver Spring  20910 (38.98737899, -77.029852959)"
LDG INC (Lee Development Group),13806 Georgi@ Ave,nan,Silver Spring,  Maryland  ,20906,  45 and Above  ,"  13806 Georgia Ave Silver Spring  20906 (39.081381992, -77.07719202)  "
IVT Travilah Square Shopping Centre,10076 DARNESTOWN RD,  nan  ,Rockville,N/A,20850,45 and Above,"10076 DARNESTOWN RD Rockville  20850 (39.096646988, -77.207055025)"
"4405 East West Property Owner, LLC",4405 EAST WEST HWY,n@n,Bethesda,Maryland,N/A,  45 and Above  ,"  4405 EAST WEST HWY Bethesda@  20814 (38.985454002, -77.090563)  "
  Fairview Building Condominium  ,438 N FREDERICK AVE,nan,  Gaithersburg  ,M@ryland,20877,  45 and Above  ,"438 N FREDERICK AVE Gaithersburg  20877 (39.147454984, -77.206675996)"
  Twinbrook Marketplace Shopping Centre  ,  2001 VEIRS MILL RD  ,nan,Rockville,Maryland,20851,45 @nd Above,"2001 VEIRS MILL RD Rockville  20851 (39.074750021, -77.116672041)"
  Darnestown Valley WHM LLP  ,12168 DARNESTOWN RD,n@n,  Gaithersburg  ,Maryland,20878,45 and Above,"12168 DARNESTOWN RD Gaithersburg  20878 (39.116605012, -77.25208504)"
12101 Tech Road LLC.,  12101 TECH RD  ,nan,  Silver Spring  ,Maryland,N/A,  45 @nd Above  ,"12101 TECH RD Silver Spring  20904 (39.053309992, -76.967037971)"
"6900 Wisconsin, LLC",  4502 WALSH ST  ,nan,  Chevy Chase  ,M@ryland,20815,Less Than 45,"4502 WALSH ST Chevy Chase  20815 (38.979208981, -77.09028799)"
"  Lidl US Operations, LLC  ",15931 FREDERICK RD,nan,  Derwood  ,Maryland,20855,45 and Above,"15931 FREDERICK RD Derwood  20855 (39.117758991, -77.167534017)"
 ,11160 VEIRS MILL RD,nan,Wheaton,NULL,20902,45 @nd Above,"11160 VEIRS MILL RD Wheaton  20902 (39.036804013, -77.05508299)"
Takoma Park Silver Spring Co-op,  201 ETHAN ALLEN AVE  ,nan,Takoma Park,Maryland,20912,  45 and Above  ,"201 ETHAN ALLEN AVE T@koma Park  20912 (38.977737999, -77.005928996)"
KS Shopping Centre LP, ,nan,Bethesda,  M@ryland  ,20816,45 @nd Above,"  5227 RIVER RD Bethesda  20816 (38.966155005, -77.104107988)  "
"  S@ul Centres, Inc.  ",  15650 OLD COLUMBIA PIKE  ,nan,Burtonsville,Maryland,20866,-,"15650 OLD COLUMBIA PIKE Burtonsville  20866 (39.11292498, -76.933463)"
  C.B.S. ASSOCIATES LIMITED PARTNERSHIP  ,12201 VEIRS MILL RD,  nan  ,  Whe@ton  ,Maryland,20906,45 and Above,"  12201 VEIRS MILL RD Wheaton  20906 (39.057261012, -77.082162992)  "
VMR ASSOCIATES,4301 RANDOLPH RD,nan,Whe@ton,Maryland,20906,45 and Above,"4301 RANDOLPH RD Wheaton  20906 (39.056276013, -77.083993013)"
United St@tes Postal Service,14030 CONNECTICUT AVE,nan,NULL,Maryland,20906,Less Than 45,"  14030 CONNECTICUT AVE Silver Spring  20906 (39.086253009, -77.074894038)  "
L & T Market Inc,700 HUNGERFORD DR,  nan  ,Rockville,NULL,20850,45 and Above,"  700 HUNGERFORD DR Rockville  20850 (39.093035017, -77.154149961)  "
"  Elton Road Limited Partnership, LLP  ",1734 ELTON RD,  nan  ,Silver Spring,M@ryland,20903,  45 and Above  ,"1734 ELTON RD Silver Spring  20903 (39.020193009, -76.973184001)"
"  Pickford Enterprise, LLC  ",11711 PARKLAWN DR,  nan  ,Rockville,Maryland,20852,45 and Above,"  11711 PARKLAWN DR Rockville  20852 (39.04759299, -77.101193013)  "
"  Carrollton Potomac Promenade, LLC  ",9812 FALLS RD,  n@n  ,Potomac,Maryland,20854,45 and Above,"9812 FALLS RD Potomac  20854 (39.017575006, -77.211042967)"
"Muddy Branch Square, LP",  800 MUDDY BRANCH RD  ,  n@n  ,Gaithersburg,Maryland,20878,45 and Above,"800 MUDDY BRANCH RD Gaithersburg  20878 (39.114115, -77.216294984)"
"  Elton Road Limited Partnership, LLP  ",1738 ELTON RD,  nan  ,N/A,  Maryland  ,NULL,45 and Above,"1738 ELTON RD Silver Spring  20903 (39.020542996, -76.97297504)"
  Extended Stay America- Rockville  ,-,  n@n  ,Rockville,  Maryland  , ,  45 @nd Above  ,"  2621 RESEARCH BLVD Rockville  20850 (39.107203995, -77.193450023)  "
SAMBA,  11301 OLD GEORGETOWN RD  ,  nan  ,  Rockville  ,  Maryland  ,20852,Less Than 45,"11301 OLD GEORGETOWN RD Rockville  20852 (39.040455003, -77.12159599)"
"  BURKE GEORGIA, LLC  ",8700 GEORGIA AVE,-,SILVER SPRING,M@ryland,20910,Less Than 45,"8700 GEORGIA AVE SILVER SPRING  20910 (38.997634, -77.029971)"
"535, LLC",535 SOUTHLAWN LANE,nan,N/A,Maryland,20850,45 @nd Above, 
  SJ Ourisman  ,5420 Butler Road,nan,  Bethesda  ,  Maryland  ,20816,N/A,"  5420 Butler Road Bethesda  20816 (38.962241, -77.10332)  "
  COAKLEY REALTY  ,2729 - 2739 GARFIELD AVE,  nan  ,NULL,Maryland,20910,Less Than 45,"  2729 - 2739 GARFIELD AVE SILVER SPRING  20910 (39.001805, -77.056185)  "
"Ben Bran Associates, LLC",N/A,nan,  Silver Spring  ,  Maryland  ,20903,  Less Than 45  ,N/A
Federal Realty investment Trust,10241 Old Georgetown Rd.,nan,Bethesda,M@ryland,20814,  45 and Above  ,"10241 Old Georgetown Rd. Bethesda  20814 (39.023042, -77.123894)"
Cotler Properties,"701-764 East Gude Drive, 309 Howard Avenue",401 & 420-423 Dover Rd,Rockville,Maryland,20805,45 @nd Above,"701-764 E@st Gude Drive, 309 Howard Avenue Rockville  20805"
"Concord BT, LLC",10605 Concord Street,nan,Kensington,MD,20895,45 and Above,"10605 Concord Street Kensington  20895 (39.030527, -77.074953)"
"T@koma Centre, LLC",  7050 Carroll Ave  ,n@n,Takoma Park,Maryland,20912, ,"7050 Carroll Ave Takoma Park  20912 (38.975048, -77.010832)"
Whe@ton Shopping Centre Joint Venture,11401-11455 Georgia Avenue,"2401-2419 University Blvd., West",  Wheaton  ,NULL,20902,45 and Above,"11401-11455 Georgia Avenue Wheaton  20902 (39.042039, -77.051835)"
River Road LLC,5200 River Road,nan,  Bethesda  ,Maryland,20816,Less Than 45,"5200 River Road Bethesda  20816 (38.964719, -77.103718)"
"  White Flint Express Realty Group, LP  ",12303 Twinbrook P@rkway,1207-1209 Chapman Ave.,  Rockville  ,Maryland,20852,45 and Above,"  12303 Twinbrook Parkway Rockville  20852 (39.058675, -77.119318)  "
"  RG Industrial Centre, LLC  ",  433-435 E. Diamond Ave.  ,nan,  Gaithersburg  ,M@ryland,20877,  45 and Above  ,"433-435 E. Diamond Ave. Gaithersburg  20877 (39.141797, -77.186388)"
STONESTREET JOINT VENTURE,485 - 497 S STONE STREET AVE,  nan  ,ROCKVILLE, , ,  Less Than 45  ,"  485 - 497 S STONE STREET AVE ROCKVILLE  20850 (39.083028, -77.143679)  "
  Triumph Germ@ntown  ,19847 Century Boulev@rd,nan,Germantown,Maryland,20874,Less Than 45,"  19847 Century Boulev@rd Germantown  20874 (39.182012, -77.265319)  "
